keyword,ad_group,match_type,avg_monthly_searches,competition,suggested_cpc,suggested_cpc_range,high_priority,source
honda city,Brand Terms - Honda,Exact,368000,Low,0.64,₹1.00 - ₹0.29,False,competitor
honda elevate,Brand Terms - Honda,Exact,368000,Low,0.58,₹1.00 - ₹0.15,False,competitor
honda amaze,Brand Terms - Honda,Exact,368000,Low,0.69,₹1.00 - ₹0.38,False,competitor
honda city price,Brand Terms - Honda,Exact,74000,Low,0.68,₹1.00 - ₹0.35,True,competitor
honda city on road price,Brand Terms - Honda,Exact,74000,Low,0.66,₹1.00 - ₹0.33,True,competitor
honda city automatic price,Brand Terms - Honda,Exact,74000,Low,0.68,₹1.00 - ₹0.35,True,competitor
cost of honda city,Brand Terms - Honda,Exact,74000,Low,0.68,₹1.00 - ₹0.35,False,competitor
honda city car on road price,Brand Terms - Honda,Exact,74000,Low,0.66,₹1.00 - ₹0.33,True,competitor
honda city rate,Brand Terms - Honda,Exact,74000,Low,0.68,₹1.00 - ₹0.35,False,competitor
honda city 2025,Brand Terms - Honda,Exact,60500,Low,0.62,₹1.00 - ₹0.24,False,competitor
honda jazz,Brand Terms - Honda,Exact,49500,Low,0.56,₹1.00 - ₹0.13,False,competitor
honda city 2024,Brand Terms - Honda,Exact,49500,Low,0.6,₹1.00 - ₹0.19,False,competitor
honda jazz honda,Brand Terms - Honda,Exact,49500,Low,0.56,₹1.00 - ₹0.13,False,competitor
new honda amaze,Brand Terms - Honda,Exact,40500,Low,0.68,₹1.00 - ₹0.35,False,competitor
honda city car,Brand Terms - Honda,Exact,33100,Low,0.63,₹1.00 - ₹0.26,False,competitor
honda city automatic,Brand Terms - Honda,Exact,33100,Low,0.63,₹1.00 - ₹0.26,False,competitor
