keyword,ad_group,match_type,avg_monthly_searches,competition,suggested_cpc,suggested_cpc_range,high_priority,source
kia seltos,Brand Terms - Kia,Exact,1500000,Low,0.82,₹1.00 - ₹0.63,False,brand
kia carens,General Keywords,Exact,673000,Low,1.47,₹1.00 - ₹1.94,False,brand
kia sonet,Brand Terms - Kia,Exact,550000,Low,0.69,₹1.00 - ₹0.38,False,brand
kia cars,General Keywords,Exact,301000,Low,1.61,₹1.00 - ₹2.22,False,brand
auto kia,General Keywords,Exact,301000,Low,1.61,₹1.00 - ₹2.22,False,brand
kia automatic cars,Category Terms (Generic car buying searches),Exact,301000,Low,1.61,₹1.00 - ₹2.22,False,brand
kia motors cars,Brand Terms - Kia,Exact,301000,Low,1.61,₹1.00 - ₹2.22,False,brand
cars from kia,General Keywords,Exact,301000,Low,1.61,₹1.00 - ₹2.22,False,brand
automotive kia,General Keywords,Exact,301000,Low,1.61,₹1.00 - ₹2.22,False,brand
kia cars car,General Keywords,Exact,301000,Low,1.61,₹1.00 - ₹2.22,False,brand
kia car kia,General Keywords,Exact,301000,Low,1.61,₹1.00 - ₹2.22,False,brand
kia cars kia cars,General Keywords,Phrase,301000,Low,1.61,₹1.00 - ₹2.22,False,brand
kia auto cars,General Keywords,Exact,301000,Low,1.61,₹1.00 - ₹2.22,False,brand
kia seltos price,Brand Terms - Kia,Exact,165000,Low,0.85,₹1.00 - ₹0.70,True,brand
kia carens price,Feature & Benefit Queries,Exact,110000,Low,2.84,₹1.00 - ₹4.68,True,brand
kia seltos on road price,Brand Terms - Kia,Exact,110000,Low,1.47,₹1.00 - ₹1.94,True,brand
kia car price,Feature & Benefit Queries,Exact,90500,Low,2.32,₹1.00 - ₹3.63,True,brand
kia carens on road price,Feature & Benefit Queries,Phrase,90500,Low,1.88,₹1.00 - ₹2.77,True,brand
kia automatic price,Feature & Benefit Queries,Exact,90500,Low,2.32,₹1.00 - ₹3.63,True,brand
kia car cost,General Keywords,Exact,90500,Low,2.32,₹1.00 - ₹3.63,False,brand
kia cars and prices,Feature & Benefit Queries,Phrase,90500,Low,2.32,₹1.00 - ₹3.63,True,brand
kia vehicle price,Feature & Benefit Queries,Exact,90500,Low,2.32,₹1.00 - ₹3.63,True,brand
kia price car,Brand Terms - Kia,Exact,90500,Low,2.32,₹1.00 - ₹3.63,True,brand
kia carnival price,Brand Terms - Kia,Exact,74000,Low,0.58,₹1.00 - ₹0.17,True,brand
kia carnival cost,Brand Terms - Kia,Exact,74000,Low,0.58,₹1.00 - ₹0.17,False,brand
honda city,Brand Terms - Honda,Exact,368000,Low,0.64,₹1.00 - ₹0.29,False,competitor
honda elevate,Brand Terms - Honda,Exact,368000,Low,0.58,₹1.00 - ₹0.15,False,competitor
honda amaze,Brand Terms - Honda,Exact,368000,Low,0.69,₹1.00 - ₹0.38,False,competitor
honda city price,Brand Terms - Honda,Exact,74000,Low,0.68,₹1.00 - ₹0.35,True,competitor
honda city on road price,Brand Terms - Honda,Exact,74000,Low,0.66,₹1.00 - ₹0.33,True,competitor
honda city automatic price,Brand Terms - Honda,Exact,74000,Low,0.68,₹1.00 - ₹0.35,True,competitor
cost of honda city,Brand Terms - Honda,Exact,74000,Low,0.68,₹1.00 - ₹0.35,False,competitor
honda city car on road price,Brand Terms - Honda,Exact,74000,Low,0.66,₹1.00 - ₹0.33,True,competitor
honda city rate,Brand Terms - Honda,Exact,74000,Low,0.68,₹1.00 - ₹0.35,False,competitor
honda city 2025,Brand Terms - Honda,Exact,60500,Low,0.62,₹1.00 - ₹0.24,False,competitor
honda jazz,Brand Terms - Honda,Exact,49500,Low,0.56,₹1.00 - ₹0.13,False,competitor
amaze car,General Keywords,Exact,49500,Low,0.64,₹1.00 - ₹0.28,False,competitor
honda service centres near me,Feature & Benefit Queries,Phrase,49500,Low,0.81,₹1.00 - ₹0.62,True,competitor
honda city 2024,Brand Terms - Honda,Exact,49500,Low,0.6,₹1.00 - ₹0.19,False,competitor
honda near by me,General Keywords,Phrase,49500,Low,1.08,₹1.00 - ₹1.15,False,competitor
honda jazz honda,Brand Terms - Honda,Exact,49500,Low,0.56,₹1.00 - ₹0.13,False,competitor
honda crv,General Keywords,Exact,40500,Low,0.6,₹1.00 - ₹0.20,False,competitor
new honda amaze,Brand Terms - Honda,Exact,40500,Low,0.68,₹1.00 - ₹0.35,False,competitor
honda india,General Keywords,Exact,33100,Low,0.55,₹1.00 - ₹0.10,False,competitor
honda city car,Brand Terms - Honda,Exact,33100,Low,0.63,₹1.00 - ₹0.26,False,competitor
honda car company,General Keywords,Exact,33100,Low,0.63,₹1.00 - ₹0.26,False,competitor
honda city automatic,Brand Terms - Honda,Exact,33100,Low,0.63,₹1.00 - ₹0.26,False,competitor
honda auto india,General Keywords,Exact,33100,Low,0.55,₹1.00 - ₹0.10,False,competitor
honda automobile india,General Keywords,Exact,33100,Low,0.55,₹1.00 - ₹0.10,False,competitor
honda civic price in india,Feature & Benefit Queries,Phrase,27100,Low,0.54,₹1.00 - ₹0.08,True,competitor
